,Author
0,JJ Smith
1,Stephen King
2,Jordan B. Peterson
3,George Orwell
4,National Geographic Kids
5,George R. R. Martin
6,George R. R. Martin
7,Amor Towles
8,James Comey
9,Fredrik Backman
10,Fredrik Backman
11,Larry Schweikart
12,Jaycee Dugard
13,Madeleine L'Engle
14,Steve Harvey
15,Adult Coloring Book Designs
16,Blue Star Coloring
17,Blue Star Coloring
18,Coloring Books for Adults
19,Ron Chernow
20,Anthony Doerr
21,Anthony Doerr
22,Veronica Roth
23,Chris Kyle
24,Khaled Hosseini
25,Glenn Beck
26,Neil deGrasse Tyson
27,Mark Twain
28,DK
29,Angie Grace
30,Ina Garten
31,Ina Garten
32,Michelle Obama
33,Michelle Obama
34,Atul Gawande
35,Ta-Nehisi Coates
36,Ta-Nehisi Coates
37,Bruce Springsteen
38,Stephenie Meyer
39,Glenn Beck
40,Bill Martin Jr.
41,Bill Martin Jr.
42,Jeff Kinney
43,Sasha O'Hara
44,David Goggins
45,Thomas Piketty
46,Suzanne Collins
47,Suzanne Collins
48,Suzanne Collins
49,Chrissy Teigen
50,Francis Chan
51,Francis Chan
52,Francis Chan
53,Kevin Kwan
54,Marjorie Sarnat
55,Marjorie Sarnat
56,Abraham Verghese
57,Abraham Verghese
58,Brené Brown
59,Malcolm Gladwell
60,Charlaine Harris
61,Charlaine Harris
62,Charlaine Harris
63,Rod Campbell
64,Rod Campbell
65,Rod Campbell
66,Rod Campbell
67,George W. Bush
68,Tony Hsieh
69,American Psychiatric Association
70,American Psychiatric Association
71,Jeff Kinney
72,Jeff Kinney
73,Jeff Kinney
74,M Prefontaine
75,Veronica Roth
76,Veronica Roth
77,Veronica Roth
78,Zhi Gang Sha
79,Stephen King
80,Jeff Kinney
81,Dav Pilkey
82,Dav Pilkey
83,Dav Pilkey
84,Dav Pilkey
85,Dav Pilkey
86,Dav Pilkey
87,Dav Pilkey
88,Jeff Kinney
89,Marty Noble
90,Daniel H. Pink
91,David Zinczenko
92,David Zinczenko
93,Joel Fuhrman MD
94,Joel Fuhrman MD
95,Stephenie Meyer
96,Stephenie Meyer
97,Tara Westover
98,Tara Westover
99,Johanna Basford
100,Ray Bradbury
101,Ray Bradbury
102,J.K. Rowling
103,Bob Woodward
104,E L James
105,E L James
106,E L James
107,E L James
108,E L James
109,Michael Wolff
110,Roger Priddy
111,Roger Priddy
112,Roger Priddy
113,Roger Priddy
114,Roger Priddy
115,Michael Pollan
116,RH Disney
117,John Heilemann
118,George R.R. Martin
119,George R.R. Martin
120,George R.R. Martin
121,Peter A. Lillback
122,Brian Kilmeade
123,Giles Andreae
124,Giles Andreae
125,Giles Andreae
126,Giles Andreae
127,Giles Andreae
128,Rachel Hollis
129,Rachel Hollis
130,Rachel Hollis
131,Glenn Beck
132,Harper Lee
133,Adam Mansbach
134,Sarah Palin
135,Gillian Flynn
136,Gillian Flynn
137,Gillian Flynn
138,Pretty Simple Press
139,Jim Collins
140,Jim Collins
141,Jim Collins
142,Jim Collins
143,Margaret Wise Brown
144,Margaret Wise Brown
145,Margaret Wise Brown
146,Sherri Duskey Rinker
147,Sherri Duskey Rinker
148,David Perlmutter MD
149,E L James
150,Raina Telgemeier
151,Lin-Manuel Miranda
152,Phil Robertson
153,J.K. Rowling
154,J.K. Rowling
155,J. K. Rowling
156,J.K. Rowling
157,J.K. Rowling
158,Scholastic
159,J. K. Rowling
160,Mitch Albom
161,Todd Burpo
162,Todd Burpo
163,J. D. Vance
164,J. D. Vance
165,Joanna Gaines
166,Dale Carnegie
167,Dale Carnegie
168,Dale Carnegie
169,Dale Carnegie
170,Dale Carnegie
171,Howard Stern
172,Brandon Stanton
173,Brandon Stanton
174,Brandon Stanton
175,Allie Brosh
176,Hopscotch Girls
177,James Patterson
178,Ann Whitford Paul
179,Ann Whitford Paul
180,Gayle Forman
181,Eric Larson
182,Dan Brown
183,Christopher Paolini
184,Jennifer Smith
185,Jennifer Smith
186,Lysa TerKeurst
187,Sarah Young
188,Sarah Young
189,Sarah Young
190,Sarah Young
191,Sarah Young
192,Sarah Young
193,RH Disney
194,Stephen King
195,David Grann
196,Bill O'Reilly
197,Bill O'Reilly
198,Bill O'Reilly
199,Bill O'Reilly
200,Bill O'Reilly
201,Bill O'Reilly
202,Bill O'Reilly
203,Anthony Bourdain
204,Rob Elliott
205,Rob Elliott
206,Rob Elliott
207,Jill Twiss
208,Rob Elliott
209,Rob Elliott
210,Rob Elliott
211,Rob Elliott
212,Rob Elliott
213,Sheryl Sandberg
214,Walter Isaacson
215,Paper Peony Press
216,Mark R. Levin
217,Keith Richards
218,Chris Cleave
219,Alice Schertle
220,Celeste Ng
221,John Green
222,Rob Bell
223,Robert Munsch
224,Robert Munsch
225,Joanna Gaines
226,Ina Garten
227,Admiral William H. McRaven
228,Julia Child
229,Rupi Kaur
230,Rupi Kaur
231,Rupi Kaur
232,Adam Gasiewski
233,Carol S. Dweck
234,Carol S. Dweck
235,Carol S. Dweck
236,Suzanne Collins
237,Suzanne Collins
238,Suzanne Collins
239,Crispin Boyer
240,Amy Shields
241,Stephenie Meyer
242,Elie Wiesel
243,Mark Owen
244,Pete Souza
245,Dr. Seuss
246,Dr. Seuss
247,Dr. Seuss
248,Dr. Seuss
249,Dr. Seuss
250,Dr. Seuss
251,Dr. Seuss
252,Dr. Seuss
253,Jeff Kinney
254,Elizabeth Strout
255,Ann Voskamp
256,Ann Voskamp
257,Sheryl Sandberg
258,Dan Brown
259,Christina Baker Kline
260,Malcolm Gladwell
261,Malcolm Gladwell
262,Naomi Kleinberg
263,Naomi Kleinberg
264,Rick Riordan
265,Wizards RPG Team
266,Wizards RPG Team
267,Wizards RPG Team
268,Scholastic
269,Eben Alexander
270,Eben Alexander
271,American Psychological Association
272,American Psychological Association
